fileName,name,contentUrl,encodingFormat
no3_annual_loads.csv,no3_annual_loads,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/annual_loads/no3_annual_loads.csv,csv
no3_annual_loads_flow_normalized.csv,no3_annual_loads_flow_normalized,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/annual_loads/no3_annual_loads_flow_normalized.csv,csv
tp_annual_loads.csv,tp_annual_loads,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/annual_loads/tp_annual_loads.csv,csv
tp_annual_loads_flow_normalized.csv,tp_annual_loads_flow_normalized,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/annual_loads/tp_annual_loads_flow_normalized.csv,csv
no3_daily_loads.csv,no3_daily_loads,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/daily_loads/no3_daily_loads.csv,csv
no3_daily_loads_flow_normalized.csv,no3_daily_loads_flow_normalized,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/daily_loads/no3_daily_loads_flow_normalized.csv,csv
tp_daily_loads.csv,tp_daily_loads,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/daily_loads/tp_daily_loads.csv,csv
tp_daily_loads_flow_normalized.csv,tp_daily_loads_flow_normalized,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/daily_loads/tp_daily_loads_flow_normalized.csv,csv
no3_monthly_loads.csv,no3_monthly_loads,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/monthly_loads/no3_monthly_loads.csv,csv
no3_monthly_loads_flow_normalized.csv,no3_monthly_loads_flow_normalized,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/monthly_loads/no3_monthly_loads_flow_normalized.csv,csv
tp_monthly_loads.csv,tp_monthly_loads,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/monthly_loads/tp_monthly_loads.csv,csv
tp_monthly_loads_flow_normalized.csv,tp_monthly_loads_flow_normalized,https://github.com/txwri/lavaca-nutrients/blob/main/data/Output/monthly_loads/tp_monthly_loads_flow_normalized.csv,csv
